month,eco_water,town_water,agr_water,inflow,max_v,elec_plan
1,401.8,642.2,485.9,1278.7,39300,200
2,433,545.3,471.6,843.4,39300,100
3,283.9,638.2,1546.3,723.7,39300,100
4,427.7,596.4,1272.9,477.8,39300,150
5,289.3,639.3,1069.3,4470.5,39300,150
6,798.3,616.3,0,1923.5,39300,150
7,522.3,599.8,664.2,4942.9,24800,260
8,1127.6,513.8,678.6,9507.7,24800,400
9,1736.6,495.5,117.6,10087,24800,400
10,1494.5,487.7,0,4717.2,35600,360
11,1568.2,521.7,487.6,3045.5,39300,330
12,479.4,534.3,476.5,2486.9,39300,300
