month,eco_water,town_water,agr_water,inflow,max_v,elec_plan
7,522.3,599.8,766.1,3026.3,24800,260
8,1127.6,513.8,782.5,8381.7,24800,400
9,1736.6,495.5,135.6,7228.8,24800,400
10,1494.5,487.7,0,7229.8,35600,360
11,1568.2,521.7,562.4,3623.1,39300,330
12,479.4,534.3,549.6,2678.2,39300,300
1,310.7,548.5,555.8,1055.6,39300,210
2,290.6,509.7,542.4,631.8,39300,110
3,310.7,591.0,1783.4,578.1,39300,120
4,300.7,542.1,1468.1,696.7,39300,150
5,310.7,552.2,1233.3,897.4,39300,150
6,300.7,507.0,0,2000.7,39300,150
